species,life_stage,variable,threshold_type,value,units,source_label,evidence_type,confidence,model_use,verified,notes
atlantic_croaker,juvenile_adult,temperature,field_bottom_temperature_range,"9-32",deg_C,UFIFAS_croaker_species_profile_FA148,field association,low-to-medium,primary_continuous_predictor,FALSE,"Broad range not preferred habitat. Abundant at >24 deg C."
atlantic_croaker,juvenile_adult,temperature,abundance_association,>24,deg_C,UFIFAS_croaker_species_profile_FA148,field association,low-to-medium,soft_association,FALSE,"Association not stress threshold."
atlantic_croaker,juvenile,temperature,low_lethal_candidate,<1,deg_C,SRAC_croaker_aquaculture_profile_RWFM,expert synthesis / laboratory,low-to-medium,sensitivity_only,FALSE,"Broad culture/life-history synthesis not NC field threshold."
atlantic_croaker,juvenile,temperature,high_lethal_candidate,>38,deg_C,SRAC_croaker_aquaculture_profile_RWFM,expert synthesis / laboratory,low-to-medium,sensitivity_only,FALSE,"Use only as sensitivity bound."
atlantic_croaker,adult,temperature,low_lethal_candidate,<3,deg_C,SRAC_croaker_aquaculture_profile_RWFM,expert synthesis / laboratory,low-to-medium,sensitivity_only,FALSE,"Adult-specific lower lethal candidate."
atlantic_croaker,adult,temperature,high_lethal_candidate,>36,deg_C,SRAC_croaker_aquaculture_profile_RWFM,expert synthesis / laboratory,low-to-medium,sensitivity_only,FALSE,"Adult-specific upper lethal candidate."
atlantic_croaker,egg_spawning,salinity,egg_buoyancy_requirement,>=30,psu,SRAC_croaker_aquaculture_profile_RWFM,expert/agency guideline / laboratory culture,medium,sensitivity_only,FALSE,"Relevant only to spawning/egg module not estuarine juveniles."
atlantic_croaker,juvenile,salinity,growth_favorable_lab_treatment,5,psu,juvenile_croaker_salinity_growth_experiment_ScienceDirect,laboratory tolerance,medium,soft_growth_association,FALSE,"Lab growth-favorable treatment not field optimum range."
atlantic_croaker,juvenile,salinity,low_salinity_growth_association,"<15-20",psu,croaker_juvenile_growth_low_salinity_NMFS_SPO,field/lab association,medium,soft_association,FALSE,"Good for freshwater-pulse sensitivity not a hard cutoff."
atlantic_croaker,juvenile_adult,dissolved_oxygen,local_field_exclusion_candidate,1.5,mg/L,Neuse_estuary_field_report_P2InfoHouse,field association,low-to-medium,sensitivity_only,FALSE,"Local but not a controlled threshold. Use alongside generic 2 mg/L hypoxia screen."
atlantic_croaker,juvenile_adult,habitat,juvenile_low_salinity_nursery_association,qualitative,—,SCDNR_ASMFC_life_history_croaker,field association,medium,qualitative_zone_covariate,FALSE,"Use for estuary-zone stratification not numeric threshold."
atlantic_croaker,adult_spawning,seasonality,spawning_season_candidate,"July-December (may extend January)",months,ASMFC_croaker_amendment1_2025,expert/agency guideline,medium,seasonal_mask,FALSE,"Regional Mid-Atlantic/Southeast; verify NC-specific timing."
spot,juvenile,endpoint,june_juvenile_cutoff,<140,mm_fork_length,NCDMF_spot_2023_2024_reviews,expert/agency guideline,high,primary_pending_unit_verification,FALSE,"UNIT CONFLICT: June unit inconsistent across report years (TL vs FL). Verify raw data field before use. Run FL vs TL sensitivity."
spot,juvenile,endpoint,september_juvenile_cutoff,<190,mm_total_length,NCDMF_spot_2023_2024_reviews,expert/agency guideline,high,primary_fixed_endpoint,TRUE,"Program 195-ready endpoint. Note unit changes from June (FL or TL) to September (TL)."
spot,juvenile,temperature,preferred_range,"6-20",deg_C,ASMFC_Atlantic_sciaenid_habitat_synthesis_2017,expert synthesis / field association,medium,primary_continuous_predictor,FALSE,"Preferred juvenile range not lethal threshold."
spot,juvenile,temperature,tolerable_range,"1.2-35.5",deg_C,ASMFC_Atlantic_sciaenid_habitat_synthesis_2017,expert synthesis,medium,sensitivity_bounds,FALSE,"Broad tolerance."
spot,juvenile,temperature,lower_lethal_candidate,"4-5",deg_C,ASMFC_sciaenid_GovInfo_CZIC,expert synthesis / laboratory,medium,cold_shock_sensitivity_only,FALSE,"Cold-stress/lower lethal; use for winter/cold-shock sensitivity only."
spot,juvenile,temperature,upper_lethal_candidate,>35,deg_C,spot_bait_production_profile_NOAA_14361,expert synthesis / laboratory,low-to-medium,sensitivity_only,FALSE,"Upper sensitivity bound."
spot,juvenile,salinity,field_range,"0-30",psu,ASMFC_Atlantic_sciaenid_habitat_synthesis_2017,field association,medium,primary_continuous_predictor,FALSE,"Juveniles more abundant in lower-salinity nurseries."
spot,juvenile,salinity,freshwater_stress_candidate,<2,psu,ASMFC_sciaenid_GovInfo_CZIC,laboratory / expert synthesis,medium,soft_threshold,FALSE,"Survival reduced below this after salinity reduction."
spot,juvenile,dissolved_oxygen,local_hypoxia_episode,<=2.0,mg/L,Craig_etal_2023_spot_telemetry_NOAA_repository,field association,high,primary_soft_threshold,TRUE,"STRONGEST LOCAL EVIDENCE. Juvenile spot acoustic telemetry in NRE. Craig et al. 2023 is peer-reviewed."
spot,juvenile,dissolved_oxygen,growth_reduction_severe,1.5,mg/L,spot_menhaden_DO_growth_experiment_ScienceDirect,laboratory tolerance,medium,severe_exposure,FALSE,"Growth reductions 31-89% in lab. Verify journal source before use."
spot,juvenile,dissolved_oxygen,local_field_exclusion_candidate,4.5,mg/L,Neuse_estuary_field_report_P2InfoHouse,field association,low-to-medium,soft_marginal_habitat_sensitivity,FALSE,"Use as soft avoidance/marginal habitat threshold only. Not a controlled stress threshold."
spot,egg,temperature,egg_temperature_requirement,"17.5-25",deg_C,spot_egg_development_ASMFC_2017,laboratory tolerance,medium,egg_stage_only,FALSE,"Offshore egg-stage threshold not Program 195 juvenile endpoint."
spot,larva_early_juvenile,seasonality,estuarine_ingress,"November-May",months,NC_SC_spot_recruitment_study_ResearchGate_2024,field association,medium,pre_survey_lag_exposure,FALSE,"Useful for pre-survey lag exposure window."
southern_flounder,juvenile_adult,endpoint,program195_juvenile_index,null,—,NCDMF_southern_flounder_review_2022_2023,expert/agency guideline,medium,do_not_use_until_confirmed,FALSE,"No clear universal length cutoff found in Program 195 context. Do not invent one."
southern_flounder,spawning_adult,seasonality,spawning_temperature_window,"57-73",deg_F,NC_DEQ_southern_flounder_species_profile,expert/agency guideline,medium,spawning_window_mask,FALSE,"Equivalent to 13.9-22.8 deg C. Offshore spawning window."
southern_flounder,spawning_adult,seasonality,spawning_season,"October-February",months,NC_DEQ_southern_flounder_species_profile,expert/agency guideline,medium,spawning_window_mask,FALSE,"NC/Southeast regional life-history timing."
southern_flounder,juvenile,seasonality,estuarine_juvenile_migration,"January-April",months,NC_DEQ_southern_flounder_species_profile,expert/agency guideline,medium,nursery_exposure_window,FALSE,"Relevant to nursery exposure windows."
southern_flounder,larva,temperature,larval_survival_growth_optimum,17,deg_C,UNCW_southern_flounder_larval_development,laboratory tolerance,medium,early_life_hatchery_sensitivity,FALSE,"Early-life hatchery/lab threshold."
southern_flounder,early_juvenile,temperature,early_juvenile_growth_optimum,21,deg_C,UNCW_southern_flounder_development,laboratory tolerance,medium,early_life_hatchery_sensitivity,FALSE,"Not a field habitat optimum."
southern_flounder,egg_larva,temperature,hatch_time_experimental_treatments,"13 / 17 / 21 / 25",deg_C,southern_flounder_thermal_development_ResearchGate,laboratory tolerance,medium,thermal_rate_modeling_only,FALSE,"Supports thermal-rate modeling but no validated degree-day field endpoint."
southern_flounder,juvenile,salinity,low_salinity_stress_candidate,0,psu,juvenile_SF_salinity_experiment_ADS_1999,laboratory tolerance,medium,sensitivity_only,FALSE,"50-day juveniles at 0 ppt had much lower survival than 5-30 ppt."
southern_flounder,juvenile,salinity,better_survival_experimental_range,"5-30",psu,juvenile_SF_salinity_experiment_ADS_1999,laboratory tolerance,medium,sensitivity_only,FALSE,"Good lab range; field use requires sensitivity analysis."
southern_flounder,adult,salinity,broad_capture_range,"0-36",psu,SRAC_southern_flounder_profile_726,field association / expert synthesis,low-to-medium,broad_occurrence_only,FALSE,"Broad occurrence range not optimum."
southern_flounder,juvenile,habitat,freshwater_nursery_settlement,qualitative,—,NC_Sea_Grant_juvenile_flounder_article,field association,medium,qualitative_zone_covariate,FALSE,"Use as zone/habitat covariate not numeric salinity threshold."
southern_flounder,juvenile_adult,dissolved_oxygen,species_specific_threshold,null,mg/L,no_strong_NC_source_found,unknown,unknown,expert_review_needed,FALSE,"No strong NC species-specific DO threshold found. Use generic DO screens only until expert/literature check."
atlantic_menhaden,egg_spawning_adult,seasonality,offshore_spawning_season,winter,season,ASMFC_menhaden_life_history_summary,expert/agency guideline,medium,do_not_use_program195,FALSE,"Not a Program 195 demersal-trawl endpoint. EXCLUDED from first paper."
atlantic_menhaden,egg,temperature,nc_onslow_bay_egg_occurrence,"17-23",deg_C,Onslow_Bay_menhaden_egg_study_ScienceDirect,field association,medium,spawning_egg_stage_only,FALSE,"Local/regional spawning evidence; egg stage only."
atlantic_menhaden,spawning_adult_egg,temperature,spawning_temperature_candidate,>15,deg_C,menhaden_spawning_habitat_synthesis_Maryland_SeaGrant,expert synthesis / field association,low-to-medium,sensitivity_only,FALSE,"Use only for spawning-window sensitivity."
atlantic_menhaden,spawning_adult_egg,salinity,spawning_salinity_association,"25-33",psu,menhaden_spawning_habitat_synthesis_Maryland_SeaGrant,expert synthesis / field association,low-to-medium,sensitivity_only,FALSE,"Offshore/nearshore spawning association."
atlantic_menhaden,juvenile,dissolved_oxygen,severe_growth_stress,1.5,mg/L,spot_menhaden_DO_growth_experiment_ScienceDirect,laboratory tolerance,medium,severe_growth_stress,FALSE,"Menhaden growth reduced substantially at this DO."
atlantic_menhaden,juvenile,dissolved_oxygen,acute_survival_sensitivity,"0.9-1.2",mg/L,menhaden_hypoxia_tolerance_SciSpace,laboratory tolerance,low-to-medium,sensitivity_only_temperature_dependent,FALSE,"Strongly temperature-dependent. Do not use as simple lethal cutoff."
atlantic_menhaden,juvenile,chlorophyll_phytoplankton,nursery_productivity,qualitative,—,Chesapeake_menhaden_recruitment_productivity_OUP,field association / model-derived,medium,productivity_covariate_not_stress,FALSE,"Use chlorophyll as forage/productivity covariate not direct stressor."
atlantic_menhaden,juvenile_adult,endpoint,program195_endpoint,null,—,Prompt1_project_constraint,expert/project guideline,medium,avoid_for_program195_primary,FALSE,"Exclude from first paper unless appropriate Program 915/120 or menhaden-specific endpoint added."
eastern_oyster,spawning_adult,temperature,nc_spawning_peak_1,20,deg_C,NCDMF_eastern_oyster_2023_review,expert/agency guideline,high,spawning_phenology,TRUE,"Local NC spawning temperature peak — NCDMF 2023 official source."
eastern_oyster,spawning_adult,temperature,nc_spawning_peak_2,25,deg_C,NCDMF_eastern_oyster_2023_review,expert/agency guideline,high,spawning_phenology,TRUE,"Local NC spawning temperature peak — NCDMF 2023 official source."
eastern_oyster,adult,temperature,aquaculture_optimal_range,"20-28",deg_C,eastern_oyster_aquaculture_IFAS_FA265,expert/agency guideline,low-to-medium,sensitivity_only,FALSE,"Aquaculture/general; not wild reef threshold."
eastern_oyster,spat_adult,salinity,normal_growth_range,"12-27",psu,oyster_HSI_model_synthesis_CAVS_2016,model-derived / expert synthesis,medium,oyster_module_only,FALSE,"Useful for oyster module if outcomes exist."
eastern_oyster,spat_adult,salinity,slower_growth_range,"7-12",psu,oyster_HSI_model_synthesis_CAVS_2016,model-derived / expert synthesis,medium,marginal_habitat_oyster,FALSE,"Use as marginal habitat."
eastern_oyster,spat_adult,salinity,low_salinity_stress,<6,psu,oyster_HSI_model_synthesis_CAVS_2016,model-derived / expert synthesis,medium,stress_threshold_oyster,FALSE,"Candidate stress threshold; disease context may reverse high-salinity risk."
eastern_oyster,spat,salinity,spat_optimum_candidate,"15-22.5",psu,oyster_spat_salinity_Scholars_Commons_FGCU,laboratory / field association,low-to-medium,spat_sensitivity_only,FALSE,"Nonlocal; use only if spat endpoint exists."
eastern_oyster,adult,dissolved_oxygen,aquaculture_minimum_candidate,>=3,mg/L,eastern_oyster_aquaculture_IFAS_FA265,expert guideline,low-to-medium,oyster_module_only,FALSE,"Not a NC wild reef threshold."
eastern_oyster,larva_adult,pH,general_tolerance_screen,"6.75-8.75",pH,estuarine_oyster_tolerance_SCDNR,expert synthesis,low,sensitivity_only,FALSE,"Use as sensitivity only; NC carbonate chemistry should be checked."
eastern_oyster,spat,sediment_tss,settlement_reduction_qualitative,"~3x lower with sediment present",—,oyster_spat_sedimentation_PubMed_34329883,laboratory / field experiment,low-to-medium,qualitative_sedimentation_risk,FALSE,"Direction strong; no NC turbidity/TSS threshold."
eastern_oyster,adult_spat,tss,experimental_exposure_levels,"0 / 100 / 250 / 500",mg/L_TSS,oyster_suspended_sediment_JSTOR_44851343,laboratory tolerance,low,do_not_use_as_threshold,FALSE,"Exposure treatments not validated model thresholds."
